MultiAgentWaterWorld: 2022-02-18 20:14:04,041 [INFO] EvoJAX MultiAgentWaterWorld
MultiAgentWaterWorld: 2022-02-18 20:14:04,041 [INFO] ==============================
MultiAgentWaterWorld: 2022-02-18 20:14:18,123 [INFO] Start to train for 2000 iterations.
MultiAgentWaterWorld: 2022-02-18 20:24:03,843 [INFO] Iter=960, size=16, max=1.6719, avg=1.2100, min=0.5781, std=0.3231
MultiAgentWaterWorld: 2022-02-18 20:24:08,909 [INFO] Iter=970, size=16, max=1.7344, avg=1.1885, min=0.7344, std=0.2777
MultiAgentWaterWorld: 2022-02-18 20:24:13,993 [INFO] Iter=980, size=16, max=1.6562, avg=1.2168, min=0.6562, std=0.2599
MultiAgentWaterWorld: 2022-02-18 20:24:19,091 [INFO] Iter=990, size=16, max=1.6562, avg=1.1787, min=0.3750, std=0.3213
MultiAgentWaterWorld: 2022-02-18 20:24:24,158 [INFO] Iter=1000, size=16, max=1.5156, avg=1.1240, min=0.0625, std=0.3835
MultiAgentWaterWorld: 2022-02-18 20:24:24,752 [INFO] [TEST] Iter=1000, #tests=100, max=2.2500 avg=1.1800, min=0.2500, std=0.4531
MultiAgentWaterWorld: 2022-02-18 20:24:29,839 [INFO] Iter=1010, size=16, max=1.6250, avg=1.1650, min=0.7500, std=0.2379
MultiAgentWaterWorld: 2022-02-18 20:24:34,913 [INFO] Iter=1020, size=16, max=1.5156, avg=1.1230, min=0.5156, std=0.2455
MultiAgentWaterWorld: 2022-02-18 20:24:39,994 [INFO] Iter=1030, size=16, max=1.6562, avg=1.2988, min=0.8906, std=0.2364
MultiAgentWaterWorld: 2022-02-18 20:24:45,076 [INFO] Iter=1040, size=16, max=1.6719, avg=1.1123, min=0.5781, std=0.3374
MultiAgentWaterWorld: 2022-02-18 20:24:50,141 [INFO] Iter=1050, size=16, max=1.6250, avg=1.2734, min=0.8438, std=0.2251
MultiAgentWaterWorld: 2022-02-18 20:24:55,225 [INFO] Iter=1060, size=16, max=1.7500, avg=1.2432, min=0.5781, std=0.3242
